key,description
一般內科,一般內科病症、痛風、慢性疲勞症候群、老人病症、腎臟病、胃腸肝膽疾病、一般常規血液或血球檢驗、貧血、血液或血球異常之疾病者、不明原因出血、心臟病、高血壓、心律不整、發燒、氣喘、藥物過敏、氣管炎、肺炎、急性腸胃炎、胃炎等。
胸腔內科,感冒、咳嗽、咳血、呼吸道感染、支氣管炎、肺炎、胸痛、胸悶、呼吸困難、氣喘症、肺氣腫、肺結核、肺膿瘍、肺腫瘤、肺癌、塵肺症、職業性肺疾病、支氣管擴張症等各種肺部疾病及肺功能檢查。
感染科,感冒、發燒、呼吸道感染、泌尿道感染、蜂窩性組織炎、結核病、身體各部位感染、愛滋病毒感染、不明熱及一般內科病症。
胃腸肝膽科,吞嚥因難、任何原因所引起之腹痛、腹部不舒服、食慾不振、疑似腹內腫瘤、胃及十二指腸潰瘍、黑色便、上吐下瀉、吐血、皮膚泛黃、肝功能指數異常、B型肝炎、C型肝炎、肝膽結石、疑似肝硬化、疑似肝腫瘤、不明原因體重下降、大腸癌篩檢、血便。
免疫風濕科,1.各式關節炎(紅、腫、熱、痛、活動受限)、高尿酸、痛風、骨關節炎、僵直性脊椎炎等。2.各式免疫風濕病:紅斑性狼瘡(SLE)、類風濕性關節炎、多發性肌炎、皮肌炎、硬皮症、僵直性脊椎炎、乾癬併發關節炎、貝賽特氏症候群等。3.各式血管炎及抗磷脂症候群。4.乾燥症(嘴乾、口乾、眼睛乾等症狀)。
腎臟內科,腎臟發炎、血尿、蛋白尿、尿量過多或過少、水腫、尿毒症、腎結石、泌尿道感染、電解質不平衡(如鈉、鉀、鈣、磷)、酸中毒、鹼中毒、藥物中毒、痛風、糖尿病、高血壓、夜尿、洗腎相關併發症。
新陳代謝內分泌科,甲狀腺疾病、糖尿病、肥胖、高血脂症、高尿酸、痛風、腦下垂體病變、腎上腺、副甲狀腺病變及各種內分泌異常、肢端肥大症。
心臟內科,胸痛、胸悶、喘、心悸、血壓高、心跳不規律、心雜音、腳腫、間歇跛行。
心臟外科,心臟冠狀動脈阻塞、瓣膜性心臟病、感染性心內膜炎、主動脈疾病、主動脈剝離、胸腹主動脈瘤、先天性心臟病。血管週邊動脈阻塞性疾病、洗腎用動靜脈廔管、洗腎用靜脈導管、化療或長期輸液之Port-A植入、靜脈曲張、靜脈栓塞等。
普通外科,外傷換藥、拆線；皮膚疾病治療(如:脂肪瘤、皮下腫塊、雞眼、皮脂腺囊腫、其他皮膚腫瘤、甲溝炎)。
神經外科,頭痛、噁心嘔吐及視力模糊是顱內壓上升的徵象，可能是腦腫瘤、腦膿瘍、水腦症等，應儘早就醫。意識障礙、半身不遂、下半身麻痺、忽然發生的頸部僵硬及嚴重頭痛可能是腦中風出血或其他神經外科急症，應火速就醫。坐骨神經痛或頸椎痛延伸至手掌是椎間盤突出或骨刺壓迫神經引起的，若服藥、復健無效，仍以手術根本治療為宜、以免神經受壓迫太久而無法復原。頭部外傷、脊椎脊髓外傷、三叉神經痛、背痛、眩暈、手掌多汗症、腕隧道症候群等均可看神經外科醫師。
大直腸肛門科,大便出血、慢性貧血、長期便秘、腹脹、腹瀉、大便習慣改變、大便變細、大便頻繁、大便失禁、長期性腹痛、肛門腫痛、肛門脫垂、肛門周圍結節或化膿。治療內容:內外痔(橡皮筋結紮法)、肛門膿瘍及廔管、肛裂、下腸胃道出血、脫肛、腸躁症、大腸憩室症、大腸直腸炎、大腸直腸良性腫瘤、大腸直腸癌高危險群篩檢、大腸直腸惡性腫瘤、大腸鏡檢。
乳房甲狀腺科,乳房硬塊、良性腺瘤、纖維囊腫、乳房疼痛、乳癌、其他乳房疾病、乳房超音波檢查。甲狀腺：甲狀腺結節、良性腫瘤、囊腫、甲狀腺功能亢進、副甲狀腺腫瘤、副甲狀腺功能亢進、其他甲狀腺、副甲狀腺疾病。
胸腔外科,本科專門治療胸腔內臟器有手術適應症的疾病；在肺部方面如：肺部良性或惡性腫瘤、氣胸、膿胸等；縱膈腔方面如：縱膈腔腫瘤、重症肌無力等；食道方面如：食道腫瘤、食道憩室、食道弛緩不能、食道狹窄等。如果您有以下之症狀，如久咳不止、血痰、吞嚥困難、食物或胃酸逆流，建議您到胸腔外科門診接受檢查及後續處置；或者是您在其它醫療院所接受檢查，得知有上述之疾病，而有手術之必要者，亦可至本科求診。
整形外科,各種慢性傷口(糖尿病傷口、下肢潰瘍、褥瘡)。頭頸部腫瘤切除後重建、顏面外傷、顏面骨折、表皮腫瘤、軀體組織缺損重建、手部外科手術、燒燙傷。疤痕重整、雙眼皮、眼袋、隆鼻、隆乳、狐臭等等。(限掛醫學美容中心門診)
消化外科,胃十二指腸疾病：胃癌、胃腫瘤、胃十二指腸潰瘍合併症、其他胃十二指腸疾病、胃食道逆流疾病。疝氣：鼠蹊部疝氣、股疝氣、臍疝氣、腹疝氣、其他疝氣。肝膽胰疾病:膽結石、膽囊息肉、腫瘤；肝癌、肝腫瘤；膽管結石、胰臟腫瘤；其他肝、膽、胰疾病。外科影像檢查：超音波檢查、電腦斷層檢查、消化道攝影。
血液科,白血球異常(低下或過多)、貧血、血小板異常(低下或過多)、凝血功能異常、淋巴腺腫大、急性或慢性白血病、惡性淋巴瘤、多發性骨瘤、骨發育不良症候群及其他血液系統惡性疾病。
腫瘤內科,各種腫瘤相關問題(如:頭頸部腫瘤、乳癌、大腸癌、肺癌、胃癌、肝癌、肉瘤)。
家醫科,各科門診常見疾病、中老年人慢性病（包括高血壓、糖尿病、高血脂、更年期症候群、骨質疏鬆、肝炎追蹤、痛風、關節炎等）、焦慮或失眠等身心症、青少年特別門診、門診戒菸及減重、癌末病患安寧療護、各類身體健康檢查、一般體檢證明、職業病診療和健康促進等（特別適於無法決定看診科別或初診篩檢時，尤其適合多種科別疾病的綜合診療，及全家人的保健諮詢）。
婦產科,孕婦產前產後檢查、不規則陰道出血、白帶與不正常分泌物、月經失調、女性不孕症、女性下腹部疼痛、婦科腫瘤、婦女尿失禁、避孕、優生保健諮詢、例行婦科和子宮頸抹片檢查、羊膜腔穿刺術、遺傳諮詢。
小兒科,凡十八歲以下，身體不適者皆可掛小兒科。另有小兒健檢及預防注射。
耳鼻喉科,頭頸部腫瘤篩檢與手術治療（口腔白斑、口腔癌、鼻咽癌、咽喉癌、唾液腺腫瘤、甲狀腺腫瘤、頸部腫塊等）。耳鳴、暈眩、聽力障礙。鼻塞、鼻竇炎、鼻過敏。扁桃腺病變、聲音沙啞、吞嚥困難、各類型語言障礙、頸部腫痛、舌及口腔喉嚨疾病、顏面神經麻痺。
精神科,壓力大、失眠、焦慮、憂鬱、神經衰弱、精神官能症、記憶力減退、老年失智、癡呆、兒童青少年衛生行為困擾、學習障礙、酒癮及藥癮、精神分裂症、妄想症、躁症。
神經內科,中風、腦血管疾病、巴金森氏症、不自主運動、運動困難、肌肉病變、神經病變、失智症及老人退化性疾病、癲癇症、頭痛、暈眩、脊髓病變、重症肌無力、睡眠障礙。
牙科,人工植牙、牙齒漂白、牙周病手術、一般拔牙、齲齒、根管治療、白斑、紅斑、齒列矯正、兒童牙科、顎骨骨折、阻生齒拔除、急性蜂窩組織炎、膺復牙科（假牙）。
骨科,骨折、骨骼疼痛、脫臼、骨髓炎、關節退化、腰酸背痛、關節炎、骨畸形、骨腫瘤、脊髓病變、小兒關節異常、肌肉及肌腱筋膜疾病、脊椎骨外傷、坐骨神經痛、背部疼痛、四肢酸麻、脊髓骨刺。
眼科,白內障、青光眼、糖尿病視網膜病變、玻璃體出血、飛蚊症、視網膜裂孔、乾眼症、弱視訓練、近視驗光、斜視檢查、視神經病變、倒睫毛、眼皮下垂、眼瞼內翻、眼袋、雙眼皮手術、鼻淚管手術。
復健科,五十肩、骨骼肌肉病變、神經病變、腰酸背痛、關節疼痛、頸腰椎骨刺、坐骨神經痛、手腳酸麻、顏面神經麻痺、語言障礙、運動傷害、中風、脊髓損傷、腦性麻痺、灼傷及外傷引起的功能或活動障礙之肢體復健、截肢後復健訓練、早期療育、發展遲緩、過動症、兒童構音異常、口吃、感統合問題。
皮膚科,濕疹、乾癬、皮膚過敏、毛髮指甲病變、皮膚黴菌及細菌感染、青春痘、老人斑、黑斑、白斑、點痣、皮膚腫瘤切除、禿頭、美容諮詢、多汗、狐臭。
泌尿科,腎結石、輸尿管結石、膀胱結石、血尿、頻尿、夜尿、泌尿道先天畸形、疝氣、陰囊水腫、隱睪、包莖、包皮炎、尿道下裂、陰囊腫痛、精索曲張、前列腺肥大、小便困難、婦女尿失禁、小兒夜間遺尿、腎臟、膀胱及前列腺惡性腫瘤、男性性機能障礙、男性不孕、男性結紮、泌尿道感染、性病、體外震波碎石手術。
環境及職業醫學科,勞工特殊體格檢查、懷疑疾病與工作有關、職業傷害等。
